machine_type,operating_hours,temperature_c,vibration_mm_s,pressure_bar,days_since_maintenance,shift,environment,error_count_30d,energy_kw,failure_next_7_days
A,2285,80.97,3.76,5.48,83,manana,seco,0,51.47,0
A,5573,86.55,4.42,6.73,61,manana,seco,2,51.66,1
A,5397,69.35,3.38,5.95,16,manana,seco,1,47.21,0
B,3781,69.21,2.52,5.65,32,manana,humedo,2,54.76,0
B,2456,62.67,3.0,4.76,129,manana,,1,45.8,0
C,2843,72.45,4.19,6.48,186,noche,seco,4,51.45,0
A,2219,64.38,5.77,6.53,44,noche,humedo,4,38.38,1
A,7530,71.4,4.14,5.75,58,manana,polvoriento,0,40.93,0
A,5725,61.27,4.01,7.23,102,tarde,seco,1,28.17,1
B,3827,76.96,4.01,6.01,125,manana,humedo,0,38.56,0
B,3069,76.16,3.55,7.0,61,tarde,humedo,3,58.85,0
B,4099,67.46,4.57,5.98,82,tarde,humedo,1,43.45,0
B,7287,70.48,4.93,6.5,32,tarde,seco,1,50.13,0
A,5253,67.92,3.76,5.74,11,noche,humedo,2,48.29,0
A,2987,67.07,3.8,5.74,71,tarde,polvoriento,0,49.51,0
A,5944,73.95,0.78,6.77,67,tarde,seco,1,46.85,0
C,6533,59.13,4.65,6.6,69,tarde,polvoriento,3,52.36,0
B,6767,65.19,2.68,5.82,81,manana,humedo,0,44.32,0
B,7186,71.35,5.41,5.82,95,tarde,humedo,1,59.9,0
C,2682,73.18,4.17,6.58,143,manana,humedo,0,54.07,0
A,8502,56.56,4.42,6.08,99,tarde,polvoriento,0,49.68,1
C,4738,77.87,3.98,5.04,27,manana,humedo,2,59.2,0
A,5339,60.24,3.88,5.69,125,tarde,seco,3,44.43,0
B,4709,67.14,3.38,7.24,142,noche,humedo,3,46.43,0
B,6227,53.16,4.81,6.14,66,tarde,seco,2,50.29,1
B,7197,73.69,3.56,6.87,99,manana,seco,0,41.0,0
B,1996,55.65,2.38,6.92,43,noche,polvoriento,4,44.05,0
A,6634,54.33,5.78,6.69,103,manana,seco,0,45.0,0
B,6133,66.29,4.04,7.61,100,manana,seco,2,45.49,0
A,2037,74.44,4.61,5.86,118,noche,humedo,3,61.16,0
A,3497,61.54,4.22,6.36,77,tarde,seco,3,37.21,0
A,4189,57.61,2.99,8.07,61,tarde,seco,0,47.73,0
C,8455,75.24,4.59,7.48,81,manana,seco,3,53.02,0
C,5319,70.75,3.35,5.82,100,tarde,seco,2,37.64,0
A,4331,56.47,4.02,5.77,43,tarde,polvoriento,1,33.24,0
C,6000,82.79,4.78,,89,tarde,humedo,4,50.31,1
B,7647,51.3,2.05,6.38,74,manana,seco,4,36.11,0
C,3942,81.62,3.84,6.79,22,noche,seco,3,67.24,0
B,5388,84.51,6.14,5.03,51,manana,seco,2,39.47,1
A,7622,76.09,3.41,5.48,58,tarde,polvoriento,1,55.28,0
B,7274,68.98,4.46,6.79,140,tarde,humedo,5,45.72,1
A,4782,74.56,3.56,6.44,52,noche,polvoriento,2,39.98,0
B,4162,77.01,5.34,6.47,60,manana,seco,0,49.02,0
A,8393,64.43,4.38,6.04,53,tarde,seco,1,48.86,0
A,7112,68.14,3.17,7.51,32,noche,humedo,2,56.48,0
B,3255,60.56,3.45,6.63,126,tarde,seco,0,60.11,0
A,4924,62.42,,7.08,38,noche,polvoriento,2,49.67,0
B,4773,67.8,4.48,4.71,33,noche,seco,3,43.2,0
A,6637,75.08,3.9,5.41,278,manana,seco,4,45.1,0
B,4564,63.87,2.66,5.34,15,noche,polvoriento,7,40.14,0
B,5369,69.77,2.62,5.17,68,noche,seco,0,48.62,0
B,5837,69.09,6.35,5.15,24,manana,humedo,3,43.73,0
A,4874,74.51,,5.01,131,manana,polvoriento,1,42.0,0
A,5328,60.22,3.89,5.69,123,tarde,seco,3,44.28,0
A,5651,69.59,3.37,5.95,18,manana,seco,1,47.25,0
C,5479,70.77,5.9,7.23,136,tarde,seco,1,42.56,1
C,7901,79.22,6.78,6.56,94,noche,seco,3,46.82,0
A,5734,67.63,,6.14,173,noche,humedo,2,43.7,0
A,4103,66.98,3.61,7.89,124,manana,humedo,4,47.26,0
B,7879,73.82,3.27,6.3,106,manana,humedo,3,53.13,0
A,4306,64.73,3.55,6.31,85,tarde,seco,0,49.9,0
C,9321,70.39,3.44,,41,noche,seco,3,57.14,0
C,1447,70.73,2.95,7.0,98,noche,seco,0,59.14,0
B,5651,70.11,4.0,6.1,50,tarde,humedo,4,36.02,0
A,7647,71.32,3.33,6.82,47,tarde,seco,1,38.93,0
A,851,69.39,3.47,6.34,26,manana,polvoriento,1,44.34,0
A,5634,61.76,5.24,5.51,36,tarde,polvoriento,2,48.1,1
C,9506,72.51,4.52,6.76,78,tarde,polvoriento,2,55.91,0
C,5050,72.26,4.26,6.34,37,noche,polvoriento,2,55.99,0
A,5101,55.76,3.42,6.28,91,noche,seco,0,43.85,0
C,6272,70.92,3.91,7.2,85,noche,seco,1,53.05,0
A,3483,61.65,4.37,6.87,76,tarde,polvoriento,2,49.06,0
C,2516,81.47,2.24,6.91,166,manana,seco,3,47.43,0
C,3036,72.39,2.59,6.05,89,noche,seco,1,40.49,0
B,4949,65.67,3.24,5.49,122,manana,seco,3,42.53,0
B,3749,57.42,4.71,5.89,55,manana,humedo,1,28.85,1
A,6502,66.34,,6.82,46,tarde,humedo,1,45.14,0
A,4780,69.02,2.43,4.98,47,tarde,seco,3,43.39,0
A,7280,72.13,4.05,7.27,80,manana,polvoriento,2,47.75,0
B,2911,67.16,3.58,5.91,49,manana,humedo,0,56.22,0
C,5207,61.09,5.37,5.74,86,manana,seco,1,48.4,0
B,5790,60.71,3.77,5.38,35,tarde,seco,0,34.98,0
B,4171,47.17,3.74,5.38,76,noche,polvoriento,0,39.02,0
B,9936,80.99,5.06,6.2,50,tarde,humedo,0,39.8,0
B,5110,70.44,3.46,5.62,126,tarde,seco,3,48.58,0
B,7153,77.42,2.64,6.38,72,tarde,seco,1,41.5,0
A,6900,64.08,2.71,5.82,88,noche,humedo,1,53.61,0
C,3219,76.48,2.9,6.78,97,tarde,humedo,2,52.14,0
B,3378,59.71,4.77,5.97,57,tarde,seco,4,45.87,0
C,10035,77.87,3.94,6.81,28,tarde,seco,2,57.89,0
B,6085,66.39,4.01,7.64,98,manana,seco,2,45.65,0
A,5934,65.22,3.64,6.42,65,tarde,humedo,3,34.0,0
C,4350,85.18,1.16,6.56,115,manana,humedo,0,40.9,0
C,4721,72.0,3.36,7.01,111,noche,polvoriento,1,52.75,0
A,281,64.72,3.76,5.83,93,tarde,seco,1,36.14,0
A,3549,71.16,2.86,6.47,69,manana,seco,4,45.1,0
B,7796,59.99,4.28,,188,tarde,seco,1,64.09,0
A,8204,72.54,3.92,6.78,74,noche,polvoriento,2,43.92,0
C,9056,65.72,6.61,6.64,134,manana,seco,1,49.86,0
A,5185,76.94,,7.01,56,tarde,polvoriento,4,46.18,0
B,7958,66.85,5.17,5.75,71,tarde,seco,2,31.96,0
B,6853,73.81,4.02,6.23,27,manana,humedo,3,46.64,0
A,4860,74.8,,5.0,132,manana,polvoriento,1,42.3,0
A,3704,65.75,3.34,6.58,40,noche,polvoriento,4,34.58,0
A,4861,74.0,2.66,5.76,55,tarde,seco,2,38.36,0
C,3546,72.0,5.39,6.85,174,tarde,seco,2,47.73,0
B,4138,74.99,2.96,4.45,164,noche,seco,2,47.96,0
A,2992,69.94,2.92,5.54,36,tarde,polvoriento,2,47.63,0
B,7210,69.7,2.23,6.38,68,tarde,seco,2,40.37,0
B,599,75.54,3.57,6.58,91,tarde,humedo,0,50.13,0
B,6404,65.71,3.76,6.06,70,tarde,seco,3,54.22,0
A,5057,73.29,4.99,6.17,129,manana,seco,1,46.12,0
A,4577,66.91,2.93,6.47,34,noche,humedo,2,49.03,0
B,4055,69.07,2.64,5.91,97,tarde,seco,2,41.13,0
A,8445,57.35,4.19,8.46,33,tarde,seco,1,54.3,0
A,2101,65.91,4.04,6.81,89,tarde,seco,1,40.05,0
A,5033,68.42,3.66,5.96,89,noche,seco,3,51.85,0
C,5335,64.85,4.11,5.75,56,manana,seco,1,46.68,0
C,4715,84.92,4.7,5.43,90,manana,seco,2,55.81,0
C,4792,58.58,4.74,7.57,116,manana,seco,1,48.9,0
B,5714,64.88,4.14,,148,tarde,humedo,5,30.15,0
A,8100,67.47,3.58,7.26,213,tarde,humedo,1,54.27,0
A,11468,69.53,4.66,5.24,107,manana,seco,6,43.12,0
B,3943,59.77,5.16,6.51,39,manana,seco,0,48.7,0
B,4175,73.75,5.63,5.42,104,tarde,seco,2,56.78,0
C,9123,75.24,5.38,5.46,117,tarde,humedo,3,53.43,0
A,6891,74.88,3.64,6.07,140,manana,humedo,1,39.02,0
B,3317,76.21,3.91,6.35,116,manana,humedo,1,56.48,0
B,7650,61.47,3.56,7.19,40,noche,seco,1,40.74,0
B,2240,78.46,3.86,5.76,139,manana,humedo,1,38.18,1
B,3037,63.3,4.94,5.44,171,noche,seco,0,46.6,0
B,5421,84.81,4.32,5.95,68,tarde,seco,1,58.11,0
B,7684,88.12,4.71,6.09,60,manana,seco,4,62.29,1
A,4376,59.96,4.62,6.73,97,tarde,seco,2,53.7,0
A,9272,78.05,3.37,6.25,48,manana,humedo,1,49.31,0
A,3881,57.6,4.75,7.49,261,tarde,polvoriento,1,43.72,0
A,4171,75.92,3.55,5.74,108,manana,humedo,0,45.46,0
A,6551,64.39,3.15,6.88,124,manana,polvoriento,1,45.27,0
B,4968,68.91,4.81,,84,manana,seco,3,53.55,0
C,6453,68.13,4.72,6.64,31,noche,polvoriento,2,62.15,0
B,2409,63.94,3.51,5.62,103,tarde,seco,3,56.55,0
A,3132,70.27,2.81,7.39,27,tarde,humedo,3,39.02,0
B,9647,81.63,3.6,5.93,75,manana,polvoriento,1,44.36,0
A,3655,76.72,2.39,6.23,111,tarde,humedo,0,42.69,0
A,7520,56.88,3.88,7.81,68,tarde,polvoriento,1,49.5,0
A,1254,72.7,0.79,6.88,51,tarde,humedo,2,51.58,0
A,2697,59.97,3.23,7.56,58,manana,humedo,1,47.1,0
B,5540,79.73,2.83,6.83,44,noche,seco,2,37.79,1
A,2735,83.8,2.1,6.28,94,tarde,seco,0,45.41,0
B,3690,69.36,4.03,7.07,134,tarde,humedo,1,41.21,0
A,1017,77.41,2.8,7.21,184,manana,seco,3,32.6,0
A,2614,66.37,0.53,6.74,85,manana,seco,2,54.81,0
C,8664,66.94,4.46,6.59,117,tarde,seco,4,65.55,1
B,5569,69.35,5.09,5.79,104,noche,humedo,3,45.41,0
B,3453,66.78,3.87,5.87,26,tarde,seco,4,48.66,0
B,9477,67.86,2.03,6.83,44,tarde,seco,2,54.26,0
A,3926,61.74,2.41,6.32,86,tarde,polvoriento,2,34.02,0
A,4681,67.69,3.67,5.78,90,manana,seco,2,49.06,0
C,5525,77.03,4.24,7.06,33,manana,seco,1,54.55,0
A,5403,68.23,4.33,6.91,176,tarde,seco,2,58.67,0
B,4851,69.89,3.87,,33,manana,polvoriento,5,43.83,0
C,9260,70.69,3.41,,42,noche,seco,3,57.46,0
B,6967,65.73,,6.16,52,manana,humedo,4,46.78,0
A,4393,60.2,2.14,5.51,111,noche,seco,0,50.95,0
A,5997,64.71,3.23,5.4,41,manana,seco,1,46.41,0
B,6048,56.0,3.25,6.33,52,tarde,seco,2,34.45,0
A,884,66.15,,,126,noche,seco,0,33.34,0
B,3441,68.93,4.67,5.45,81,tarde,humedo,0,42.17,0
A,2779,83.33,2.08,6.29,95,tarde,seco,0,45.27,0
B,5778,60.34,4.09,5.58,90,tarde,humedo,1,40.8,0
A,5575,69.55,3.21,6.91,86,manana,polvoriento,0,48.39,0
B,2761,63.05,3.17,5.39,55,noche,humedo,3,51.81,1
A,4161,72.62,3.08,7.18,164,manana,humedo,2,45.2,0
A,4040,64.52,4.05,6.37,90,tarde,seco,1,45.97,0
A,1394,66.42,4.18,6.46,70,tarde,humedo,1,42.23,0
B,9933,81.5,5.12,6.18,48,tarde,humedo,0,39.95,0
A,4930,71.17,4.71,,41,noche,humedo,1,39.73,0
A,3448,72.19,4.9,6.75,17,tarde,seco,0,41.95,1
A,5714,86.58,3.33,5.76,100,tarde,seco,1,54.16,0
A,6229,77.81,5.27,6.31,178,manana,humedo,2,43.86,0
C,7494,71.52,5.17,6.2,99,manana,seco,0,46.83,0
C,7554,71.28,3.55,6.87,26,tarde,humedo,0,65.82,0
A,6999,68.35,4.69,7.07,87,noche,seco,3,47.76,0
C,4253,76.35,3.23,6.36,83,noche,seco,3,39.74,0
B,3611,75.64,3.63,6.04,54,noche,seco,3,30.73,1
A,4249,69.2,2.93,6.31,299,manana,humedo,3,42.75,1
B,6505,65.37,4.79,4.97,20,noche,polvoriento,2,44.43,0
B,6932,60.93,4.22,5.73,21,tarde,seco,4,48.49,0
C,234,76.81,2.57,6.02,27,tarde,humedo,2,53.77,0
A,2828,73.15,5.12,5.86,119,manana,humedo,2,46.41,0
A,3536,77.04,5.97,6.34,96,manana,seco,1,45.87,0
A,7062,56.75,2.55,6.02,59,manana,seco,2,39.53,0
A,6686,86.09,4.87,6.18,25,tarde,seco,1,40.85,0
A,7240,64.15,3.79,6.21,49,noche,humedo,2,43.91,0
A,4367,59.83,4.65,6.75,99,tarde,seco,2,53.69,0
A,8490,56.22,2.44,6.0,48,noche,seco,6,39.16,0
C,2414,67.02,5.14,8.58,151,manana,seco,0,49.11,0
A,10717,70.26,4.68,5.3,65,noche,seco,3,33.58,0
A,6970,58.97,2.41,5.1,64,tarde,seco,2,33.82,0
A,4979,72.8,2.88,6.21,56,tarde,polvoriento,2,54.62,0
A,6483,62.86,5.62,6.79,94,tarde,humedo,0,51.86,0
B,6256,69.36,4.41,6.48,22,tarde,seco,2,56.11,0
A,5005,54.51,3.89,7.27,163,tarde,humedo,0,45.87,0
B,8022,73.58,3.56,5.64,33,tarde,seco,3,44.45,0
A,5482,51.18,3.37,7.12,128,manana,seco,3,52.22,0
B,6372,65.56,3.76,5.99,70,tarde,seco,3,54.3,0
B,6054,73.24,3.4,5.68,160,tarde,humedo,2,31.55,0
B,4277,62.92,4.38,4.84,111,tarde,seco,3,41.86,0
B,3546,62.27,4.7,6.24,60,tarde,humedo,5,45.01,0
C,2874,71.55,3.14,6.09,98,noche,seco,2,50.74,0
B,200,69.86,2.38,5.5,27,noche,seco,0,47.49,0
B,621,75.15,3.61,6.58,92,tarde,humedo,0,50.35,0
B,4650,63.13,2.95,,120,manana,humedo,1,42.65,0
A,6648,76.49,4.82,7.09,58,manana,seco,4,43.87,1
A,5964,68.69,3.26,7.09,57,noche,seco,8,49.37,0
B,4306,75.17,2.43,6.04,95,manana,seco,3,55.33,0
A,2622,66.14,0.52,6.75,83,manana,seco,2,54.74,0
A,3206,65.35,4.01,6.42,142,tarde,seco,3,57.18,0
B,5978,68.28,3.27,5.11,109,manana,seco,1,35.68,0
A,2307,80.66,3.77,5.48,82,manana,seco,0,51.32,0
C,2571,81.35,2.22,6.9,166,manana,seco,3,47.59,0
A,200,83.26,3.92,6.9,67,manana,humedo,0,40.56,0
A,3561,55.12,3.03,5.79,117,manana,polvoriento,2,50.11,0
C,5784,85.53,6.15,7.3,36,tarde,humedo,0,40.04,0
C,1195,63.07,2.02,6.3,92,tarde,polvoriento,1,46.91,0
A,4817,68.24,3.66,6.78,112,manana,seco,3,30.15,0
C,5250,80.61,4.11,6.94,137,manana,humedo,1,60.91,1
B,1526,54.74,3.64,4.83,55,tarde,humedo,3,46.02,0
B,3699,60.56,3.5,6.03,167,noche,seco,3,39.24,0
B,5232,90.57,3.94,5.78,80,manana,seco,3,44.12,0
C,4035,57.57,5.65,7.09,132,tarde,humedo,4,60.42,0
B,6590,66.6,3.32,4.9,27,manana,polvoriento,1,44.37,1
C,1660,59.07,6.03,6.52,87,tarde,humedo,1,45.7,0
C,7987,88.68,6.49,6.24,137,manana,seco,4,56.07,1
A,2102,84.49,3.82,5.97,79,manana,seco,1,40.78,0
A,2645,69.0,4.69,7.3,55,noche,seco,0,38.16,0
C,4718,58.73,4.75,7.57,118,manana,seco,1,48.72,0
C,9570,80.42,4.5,5.47,146,manana,humedo,0,49.51,0
A,3816,70.12,3.52,6.78,62,manana,humedo,1,35.18,0
B,3809,64.58,3.14,6.73,122,tarde,,3,47.11,0
C,200,63.82,4.3,5.7,111,manana,humedo,4,45.33,0
B,4097,69.47,1.68,5.68,60,tarde,humedo,0,41.11,0
B,6432,68.43,3.34,5.96,67,tarde,polvoriento,3,45.15,0
C,4686,58.72,4.74,7.53,119,manana,seco,1,48.65,0
A,3820,84.02,4.1,6.19,177,tarde,seco,2,38.55,1
A,5098,64.08,3.35,6.28,168,noche,,0,46.13,0
C,5404,69.36,4.4,6.5,53,manana,seco,2,32.89,0
B,4906,75.6,4.54,,66,tarde,humedo,3,30.42,1
B,7610,59.54,5.5,6.47,57,tarde,seco,2,53.73,0
C,3392,70.7,3.43,7.18,53,manana,polvoriento,0,55.41,0
B,4539,63.69,3.82,5.57,159,manana,seco,0,51.4,0
A,4187,65.15,5.5,6.68,158,manana,polvoriento,2,56.42,0
A,2627,63.18,3.19,6.63,24,tarde,seco,0,36.56,0
A,3584,54.58,3.05,5.8,116,manana,polvoriento,2,49.64,0
C,7533,82.21,5.01,6.45,112,tarde,humedo,9,49.3,0
B,2317,66.12,3.33,,105,tarde,polvoriento,3,36.6,0
C,200,83.53,5.08,6.57,87,manana,seco,1,51.66,0
A,7993,67.16,3.34,6.42,43,tarde,polvoriento,3,39.18,0
A,210,58.61,3.47,5.63,26,manana,seco,1,49.65,0
A,7198,77.46,5.06,,132,manana,humedo,4,48.3,1
B,319,73.41,2.12,7.09,201,manana,humedo,1,41.1,0
C,8143,64.66,5.62,5.2,181,tarde,seco,0,55.91,0
A,4012,59.38,3.67,6.39,69,manana,seco,3,44.29,0
A,5905,74.33,4.5,5.5,101,tarde,seco,4,42.33,0
A,6455,73.44,4.05,6.88,59,manana,humedo,3,47.42,0
A,5510,79.68,1.87,6.58,53,tarde,humedo,1,44.79,0
B,6782,71.65,5.01,4.8,40,manana,seco,2,49.99,0
C,6715,68.86,3.85,6.32,141,tarde,humedo,3,48.84,1
C,4281,68.29,4.57,6.22,94,manana,seco,1,49.78,0
C,5943,65.65,2.49,5.26,65,noche,humedo,1,48.54,0
A,5783,58.69,5.2,7.08,62,manana,polvoriento,1,49.39,0
C,4759,56.06,5.01,6.41,128,manana,seco,1,33.08,0
C,4782,55.72,5.06,6.39,131,manana,seco,1,32.97,0
B,6099,62.73,3.54,6.25,84,noche,seco,4,45.77,0
C,3671,79.04,6.31,5.54,36,noche,seco,2,41.09,0
A,10048,68.48,4.13,6.78,101,manana,seco,1,42.95,0
A,8118,56.23,3.54,6.37,76,noche,seco,2,53.99,0
A,3927,64.73,4.43,6.17,76,noche,humedo,1,39.26,0
B,3365,60.04,4.8,5.99,56,tarde,seco,4,45.75,0
A,6360,65.62,5.39,5.69,50,noche,humedo,1,34.34,0
B,4322,61.54,4.17,7.15,173,tarde,,1,54.31,0
A,2386,83.71,4.06,6.81,70,manana,seco,1,38.61,0
C,5485,71.38,5.03,6.41,93,manana,humedo,0,41.59,0
A,8414,79.88,,6.94,79,tarde,polvoriento,4,40.51,0
C,5962,55.98,3.76,6.2,56,noche,polvoriento,3,42.91,0
B,3952,61.84,2.84,6.48,54,noche,seco,2,41.69,0
A,2807,75.48,5.88,6.4,163,tarde,humedo,2,42.37,0
B,11504,70.64,5.2,5.9,91,tarde,humedo,4,42.93,0
A,2876,68.63,4.58,6.12,26,tarde,,4,41.63,0
A,7664,69.07,4.51,6.7,108,manana,seco,3,51.2,0
A,6962,86.66,5.24,5.98,60,noche,humedo,2,42.15,0
B,5057,65.58,3.28,5.51,123,manana,seco,3,42.71,0
B,5385,50.6,4.43,4.9,153,manana,seco,4,41.07,0
C,9096,74.88,4.1,7.38,70,noche,seco,0,60.7,0
B,5120,59.14,4.62,7.54,129,tarde,humedo,1,53.52,0
A,7565,67.29,5.38,7.64,60,tarde,polvoriento,2,39.92,0
C,8594,64.29,5.15,6.27,72,noche,seco,5,53.24,0
B,3362,62.77,5.69,6.19,96,noche,seco,1,36.55,0
A,2445,73.0,2.76,,106,noche,humedo,2,50.14,0
A,7248,63.48,4.38,7.13,65,manana,humedo,3,45.09,0
A,4069,65.6,3.54,5.99,170,noche,humedo,2,51.83,0
C,2662,79.91,3.39,5.3,84,noche,humedo,2,38.66,0
A,5191,60.88,4.15,6.61,173,tarde,seco,3,38.93,0
C,5002,51.75,5.53,6.72,107,noche,seco,0,50.32,1
A,7458,66.53,3.6,6.65,72,tarde,seco,1,53.61,0
B,1073,77.86,3.06,5.56,54,noche,seco,3,35.79,0
C,4444,64.87,5.28,7.17,106,noche,seco,1,50.37,0
B,6544,70.84,3.68,5.62,110,manana,seco,5,36.52,0
C,5203,76.41,3.89,7.05,56,tarde,humedo,1,41.56,0
A,1852,55.05,5.34,6.54,38,noche,humedo,2,49.09,0
A,8761,63.52,5.8,6.24,85,manana,,3,43.24,0
C,4821,63.52,3.36,6.43,161,noche,seco,2,41.31,0
A,5843,75.75,3.38,6.98,58,tarde,humedo,3,48.47,0
A,6197,66.01,3.61,6.53,101,manana,humedo,6,52.74,0
A,5178,56.45,2.75,6.7,64,tarde,polvoriento,1,47.91,0
A,4220,67.29,4.78,6.23,65,manana,seco,1,42.39,0
C,5338,68.21,3.62,6.48,99,manana,polvoriento,1,52.88,0
C,2832,66.42,3.51,6.63,102,tarde,seco,6,51.59,0
A,5629,67.64,2.3,6.65,72,noche,seco,3,40.36,0
C,3269,81.34,3.89,7.44,52,manana,humedo,1,30.51,0
